time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-10-22T09:30:14.356Z,39.6096,-116.9273,12.8,3.4,ml,15,93.62,0.8,0.1924,nn,nn00849777,2022-10-23T03:02:35.633Z,"17 km NE of Austin, Nevada",earthquake,,2.4,0.26,7,reviewed,nn,nn
2022-10-22T07:22:45.991Z,39.6995,-116.7163,9.8,2.8,ml,5,130.7,0.938,0.1969,nn,nn00849776,2022-10-24T18:21:00.830Z,"38 km NE of Austin, Nevada",earthquake,,3.3,0.08,2,reviewed,nn,nn
2022-10-22T06:25:20.450Z,37.8046684,-122.6044998,4.07,2.58,md,47,93,0.09501,0.07,nc,nc73797801,2022-10-25T20:25:53.133Z,"7km SSW of Muir Beach, CA",earthquake,0.24,0.61,0.11,52,automatic,nc,nc
2022-10-22T01:29:57.340Z,40.5906667,-124.0748333,24.1,2.61,md,34,33,0.1233,0.12,nc,nc73797716,2022-10-22T22:22:09.040Z,"5km NNE of Hydesville, CA",earthquake,0.26,0.53,0.148,31,reviewed,nc,nc
2022-10-21T20:57:35.150Z,31.68212359,-104.3957777,7.416967772999999,3.1,ml,47,45,0.04036775516,0.2,tx,tx2022uqxw,2022-10-26T21:35:28.000Z,"western Texas",earthquake,0.7480003862,0.7702511921,0.2,27,reviewed,tx,tx
2022-10-21T19:57:58.254Z,31.67243422,-104.4016123,6.74855957,3.7,ml,69,45,0.03061056725,0.2,tx,tx2022uqvy,2022-10-26T20:55:38.871Z,"western Texas",earthquake,0.7114874449,0.6520422468,0.1,32,reviewed,tx,tx
2022-10-21T19:57:57.995Z,31.6496,-104.4276,9.984,3.7,ml,27,102,0.065,0.31,us,us6000ivlt,2022-10-26T20:56:56.699Z,"58 km S of Whites City, New Mexico",earthquake,1.41,5.733,0.074,75,reviewed,us,us
2022-10-21T19:21:14.830Z,31.66692993,-104.3999478,6.851391602,3.1,ml,17,70,0.02938945526,0.2,tx,tx2022uqus,2022-10-21T19:47:51.461Z,"56 km S of Whites City, New Mexico",earthquake,1.253121004,1.051816863,0.2,25,reviewed,tx,tx
2022-10-21T18:54:22.400Z,38.8256667,-122.8228333,1.28,2.53,md,75,29,0.009862,0.05,nc,nc73797461,2022-10-22T07:31:11.240Z,"8km NW of The Geysers, CA",earthquake,0.08,0.13,0.18,50,reviewed,nc,nc
2022-10-21T18:50:26.600Z,38.8333333,-122.8171667,1.39,2.78,md,83,37,0.01137,0.05,nc,nc73797401,2022-10-22T05:38:09.516Z,"8km NW of The Geysers, CA",earthquake,0.08,0.15,0.187,70,reviewed,nc,nc
2022-10-20T20:02:47.270Z,37.3605,-121.7188333,6.42,2.52,md,76,29,0.04174,0.07,nc,nc73797066,2022-10-25T17:56:34.040Z,"10km E of Alum Rock, CA",earthquake,0.12,0.3,0.121,84,reviewed,nc,nc
2022-10-20T18:41:46.858Z,31.64865291,-104.223799,6.131567383,2.5,ml,18,59,0.04190879685,0.2,tx,tx2022uoxw,2022-10-21T18:52:56.826Z,"55 km NW of Toyah, Texas",earthquake,1.049313311,1.332976846,0.2,25,reviewed,tx,tx
2022-10-20T15:46:16.512Z,38.0721,-118.8638,12.7,2.5,ml,22,105.79,0.166,0.0987,nn,nn00849678,2022-10-20T16:25:11.127Z,"California-Nevada border region",earthquake,,0.8,0.31,9,reviewed,nn,nn
2022-10-20T15:46:16.400Z,38.0658333,-118.8585,10.77,2.63,md,31,99,0.1731,0.05,nc,nc73796981,2022-10-20T22:51:15.143Z,"21km SE of Bodie, CA",earthquake,0.34,1.42,0.238,48,reviewed,nc,nc
2022-10-20T15:07:11.570Z,40.1221667,-121.401,14.26,2.68,md,15,79,0.2325,0.1,nc,nc73796946,2022-10-21T03:25:38.704Z,"18km NW of Belden, CA",earthquake,0.3,1.44,0.188,44,reviewed,nc,nc
2022-10-20T15:00:07.116Z,31.6480198,-104.212762,7.648339844,2.9,ml,13,64,0.05033877972,0.2,tx,tx2022uoqp,2022-10-21T13:52:37.752Z,"54 km NW of Toyah, Texas",earthquake,1.179098613,1.556197303,0.2,8,reviewed,tx,tx
2022-10-20T09:53:20.400Z,31.9225,-118.2288333,5.8,3.79,mw,16,255,1.088,0.3,ci,ci40363688,2022-10-27T08:15:50.192Z,"100km S of San Clemente Is. (SE tip), CA",earthquake,2,31.61,,4,reviewed,ci,ci
2022-10-20T07:55:16.770Z,40.3495,-123.5185,33.05,4.32,mw,52,35,0.02882,0.14,nc,nc73796766,2022-10-26T00:12:48.638Z,"36km NE of Redway, CA",earthquake,0.28,0.48,,4,reviewed,nc,nc
2022-10-20T06:54:20.051Z,31.64113972,-104.2100232,7.802587891,2.8,ml,11,65,0.05585936425,0.2,tx,tx2022uoao,2022-10-20T07:39:26.604Z,"53 km NW of Toyah, Texas",earthquake,1.354241041,1.784920633,0.2,8,reviewed,tx,tx
2022-10-20T04:15:59.776Z,31.64203712,-104.2143345,6.774267578,3.5,ml,15,65,0.05230405448,0.1,tx,tx2022unvi,2022-10-21T04:18:14.773Z,"54 km NW of Toyah, Texas",earthquake,1.55406016,1.850100873,0.2,12,reviewed,tx,tx
2022-10-20T00:02:34.810Z,38.816,-122.8108333,1.68,3.22,ml,88,20,0.007408,0.06,nc,nc73796026,2022-10-25T00:55:50.330Z,"6km NW of The Geysers, CA",earthquake,0.09,0.12,0.15,81,reviewed,nc,nc
2022-10-20T00:00:10.180Z,38.8233333,-122.8098333,1.72,2.55,md,35,37,0.01909,0.03,nc,nc71129239,2022-10-21T00:06:15.563Z,"7km NW of The Geysers, CA",earthquake,0.13,0.27,0.278,3,reviewed,nc,nc
